truncated_text
I rented I AM CURIOUS-YELLOW
I also heard that at
customs if it ever tried
In particular she wants to
In between asking politicians and
"Really, the sex and nudity"
While my countrymen mind find
"Even Ingmar Bergman, arguably their"
I AM CURIOUS-YELLOW is a
"But really, this film doesn't"
"""I Am Curious: Yellow"" is"
It doesn't matter what one's
As for the claim that
I've seen R-rated films with
"Granted, they only offer some"
"Nowhere, because they don't exist."
The same goes for those
And those pretentious indie movies
"Before crying (or implying) ""double-standard"""
"In fact, you generally won't"
This alleged double-standard is less
If only to avoid making
This film is interesting as
The viewer comes away with
This film was probably inspired
"Apart from that, what strikes"
Lena Nyman has to be
She acts so stupid and
"Comparing to Godard's film, intellectuality"
Without going too far on
2/10.
"Oh, brother...after hearing about this"
I was too young to
Then a screening at a
release.
MILLIONS of people flocked to
I would put this at
There are films that are
"The sex sequences, so shocking"
The so called controversial politics
The film is self-consciously arty
The photography is in a
Some scenes are out of
Even the sound is bad!
And some people call this
Whoever wrote the screenplay for
I've never seen so many
I could write a whole
"In all, I believe that"
If I were Lucie Arnaz
"The filmmakers tried hard, but"
When I first saw a
Rachel York's portrayal of Lucy
Lucille Ball was an astounding
To think about a legend
I cannot believe out of
She might be a good
It is pretty hard to
If you noticed York's portrayal
Pino does not qualify to
"He's small and skinny, his"
Although Fred and Ethel were
If people want to understand
If you want to see
The casting of Lucille Ball
"At least, a similar aspect"
"Who are these ""They""- the"
the filmmakers?
Certainly couldn't be the audience-
It's the kind of movie
"Stratten are sweet, but have"
Ben Gazzara sports his usual
"In the meantime, the budding"
(Ms.
"Hepburn, drawing on her dignity,"
It's a movie and we
the country and western numbers
Surely this is NOT what
"""They All Laughed"" tries to"
Bogdanovich- he even bought it
His rise and fall is
there _is_ real emotional investment
Stratten's scenes.
"But ""Laughed"" is a faint"
has never emerged.<br /><br />All
I want to watch people
For filmic expressions of joy
This is said to be
He based it on his
These detectives date beautiful models
Sounds more like a millionaire
This entire movie was written
You're supposed to write what
And leaves the audience bored
This is a curio for
"But Patti Hanson, who would,"
"In fact, Stratten's part seemed"
She doesn't have a lot
"All in all, every character"
"For the rest of us,"
That's what happens when you're
You entertain your few friends
It was great to see
They looked quite wonderful.
But that was it.
They were not given any
I neither understood or cared
They showed some talent and
"Sadly, I didn't think Dorothy"
I am a big Peter
"So, it really surprised me"
"Five years later, Bogdanovich's ex-girlfriend,"
"Of course, there was a"
I can't believe that those
I was prepared for the
"On the plus side, the"
Ben G fans should stick
Dorothy S fans should stick
Peter B fans should stick
Fans of cheap laughs at
Never cast models and Playboy
"Bob Fosse's ""Star 80"" about"
Patty Hansen is no actress
This clunker I could barely
This movie was reputedly not
Stratten's tawdry death; I think
Its not the cast.
"A finer group of actors,"
Its not the setting.
The director is in love
Woody Allen could not improve
If you are going to
"No, the problem with the"
There is none.
The actors fall in love
In the director's own experience
"It is reality to him,"
"So, in the end, the"
"Today I found ""They All"
It was a really old
"I searched IMDb, and the"
"I looked in ""Mick Martin"
"So, I decided that I"
"Indeed, I have just finished"
"The characters are badly developed,"
The plot is supposed to
"The coincidences, in a huge"
Ben Gazarra as an attractive
"In the end, the greater"
"Keith Richards; the always wonderful,"
Although I do not like
I will keep this movie
My vote is four.<br /><br
This film is just plain
"John Ritter doing pratt falls,"
I didn't think I'd ever
There are at least 3
Patti Hansen delivers her lines
I started to wonder if
Even Bogdanovich's kids are awful
This movie is seriously horrible.
There's a reason Bogdanovich couldn't
Please don't watch it.
If you see it in
If a friend suggests it
If your spouse wants to
I'd rather gouge my eyes
If I could sum this
My interest in Dorothy Stratten
"Although it had great actors/actresses,"
Plus it just wasn't that
Dialogue was stiff and confusing
I was pretty disappointed in
I'll always love John Ritter
He was just too pathetic
I have this film out
It is so bad I
